test_id,node,test_category,test_description,test,result,failure_reason
33,DC1-SPINE2,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet4 - remote: DC1-LEAF2A_Ethernet2,PASS
34,DC1-SPINE2,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet5 - remote: DC1-LEAF2B_Ethernet2,PASS
35,DC1-LEAF1A,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1 - remote: DC1-SPINE1_Ethernet1,PASS
36,DC1-LEAF1A,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2 - remote: DC1-SPINE2_Ethernet1,PASS
37,DC1-LEAF1B,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1 - remote: DC1-SPINE1_Ethernet2,PASS
38,DC1-LEAF1B,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2 - remote: DC1-SPINE2_Ethernet2,PASS
39,DC1-LEAF2A,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1 - remote: DC1-SPINE1_Ethernet4,PASS
40,DC1-LEAF2A,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2 - remote: DC1-SPINE2_Ethernet4,PASS
41,DC1-LEAF2B,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet1 - remote: DC1-SPINE1_Ethernet5,PASS
42,DC1-LEAF2B,LLDP Topology,lldp topology - validate peer and interface,local: Ethernet2 - remote: DC1-SPINE2_Ethernet5,PASS
43,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet1 - Destination: DC1-LEAF1A_Ethernet1,PASS
44,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet2 - Destination: DC1-LEAF1B_Ethernet1,PASS
45,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet4 - Destination: DC1-LEAF2A_Ethernet1,PASS
46,DC1-SPINE1,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE1_Ethernet5 - Destination: DC1-LEAF2B_Ethernet1,PASS
47,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet1 - Destination: DC1-LEAF1A_Ethernet2,PASS
48,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet2 - Destination: DC1-LEAF1B_Ethernet2,PASS
49,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet4 - Destination: DC1-LEAF2A_Ethernet2,PASS
50,DC1-SPINE2,IP Reachability,ip reachability test p2p links,Source: DC1-SPINE2_Ethernet5 - Destination: DC1-LEAF2B_Ethernet2,PASS
51,DC1-LEAF1A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1A_Ethernet1 - Destination: DC1-SPINE1_Ethernet1,PASS
52,DC1-LEAF1A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1A_Ethernet2 - Destination: DC1-SPINE2_Ethernet1,PASS
53,DC1-LEAF1B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1B_Ethernet1 - Destination: DC1-SPINE1_Ethernet2,PASS
54,DC1-LEAF1B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF1B_Ethernet2 - Destination: DC1-SPINE2_Ethernet2,PASS
55,DC1-LEAF2A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2A_Ethernet1 - Destination: DC1-SPINE1_Ethernet4,PASS
56,DC1-LEAF2A,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2A_Ethernet2 - Destination: DC1-SPINE2_Ethernet4,PASS
57,DC1-LEAF2B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2B_Ethernet1 - Destination: DC1-SPINE1_Ethernet5,PASS
58,DC1-LEAF2B,IP Reachability,ip reachability test p2p links,Source: DC1-LEAF2B_Ethernet2 - Destination: DC1-SPINE2_Ethernet5,PASS
59,DC1-SPINE1,BGP,ArBGP is configured and operating,ArBGP,PASS
60,DC1-SPINE2,BGP,ArBGP is configured and operating,ArBGP,PASS
61,DC1-LEAF1A,BGP,ArBGP is configured and operating,ArBGP,PASS
62,DC1-LEAF1B,BGP,ArBGP is configured and operating,ArBGP,PASS
63,DC1-LEAF2A,BGP,ArBGP is configured and operating,ArBGP,PASS
64,DC1-LEAF2B,BGP,ArBGP is configured and operating,ArBGP,PASS
65,DC1-SPINE1,Reload Cause,Reload Cause: Reload requested by the user,Reload Cause,FAIL,Reload Cause: Unknown
66,DC1-SPINE2,Reload Cause,Reload Cause: Reload requested by the user,Reload Cause,FAIL,Reload Cause: Unknown
67,DC1-LEAF1A,Reload Cause,Reload Cause: Reload requested by the user,Reload Cause,FAIL,Reload Cause: Unknown
68,DC1-LEAF1B,Reload Cause,Reload Cause: Reload requested by the user,Reload Cause,FAIL,Reload Cause: Unknown
69,DC1-LEAF2A,Reload Cause,Reload Cause: Reload requested by the user,Reload Cause,FAIL,Reload Cause: Unknown
70,DC1-LEAF2B,Reload Cause,Reload Cause: Reload requested by the user,Reload Cause,FAIL,Reload Cause: Unknown
